,cleaan_entity_name,restaurant_name,entity_sentiment_score
17,fajita,Fresa's Chicken al Carbon,0.27999999970197675
16,fajita,Casa Maria,0.26000000182539224
20,fajita,Torchy's Tacos,0.18636363744735718
21,fajita,Wilder Wood Restaurant & Bar,0.07999999970197677
15,enchilada,Wilder Wood Restaurant & Bar,0.3968750007916242
14,enchilada,La Mancha,0.3360655713276785
13,enchilada,Casa Maria,0.1909090909598903
9,chicken,Taco Brother,0.45555555406543946
5,chicken,Buenos Sabores,0.3909090919928117
12,chicken,Wilder Wood Restaurant & Bar,0.3699999981692859
7,chicken,Fresa's Chicken al Carbon,0.24251207673319297
11,chicken,Torchy's Tacos,0.17499999806750566
10,chicken,Texas Honey Ham Company,0.15000000596046445
6,chicken,Casa Maria,-0.017857144719788002
8,chicken,La Mancha,-0.07199999660253525
2,burrito,La Mancha,0.575000012293458
3,burrito,Taco Brother,0.2925925925374031
4,burrito,Torchy's Tacos,0.27499999990686774
0,burrito,Casa Maria,0.05714285905872073
1,burrito,Fresa's Chicken al Carbon,0.0
60,tortilla,Las Perlas,0.5399999921520551
58,tortilla,Fresa's Chicken al Carbon,0.3562500001862645
55,tortilla,Cabo Bob's Burritos,0.3275510226281322
56,tortilla,Chuy's,0.23921568457986794
61,tortilla,Manuel's,0.22121212349245042
63,tortilla,Taco More,0.2205882377045996
62,tortilla,Marcelino's,0.2125000054948032
57,tortilla,El Tacorrido,0.09722222046305735
59,tortilla,Kesos Tacos,0.010869562949823297
53,taco,Marcelino's,0.4131147530479509
51,taco,Las Perlas,0.36874999972060324
54,taco,Taco More,0.3564705885800661
50,taco,Kesos Tacos,0.27431192568614393
48,taco,El Tacorrido,0.2621428564616612
49,taco,Fresa's Chicken al Carbon,0.21578947533118098
46,taco,Cabo Bob's Burritos,0.2093023261012033
47,taco,Chuy's,0.167213112482282
52,taco,Manuel's,-0.0181818160821091
40,steak,Chuy's,0.5166666569809119
43,steak,Manuel's,0.37499999813735485
39,steak,Cabo Bob's Burritos,0.29473684492864105
45,steak,Taco More,0.16923076602128836
41,steak,El Tacorrido,0.011111111276679568
44,steak,Marcelino's,0.0
42,steak,Kesos Tacos,-0.022222220069832266
38,shrimp,Taco More,0.625
35,shrimp,Chuy's,0.5090909105810252
36,shrimp,Kesos Tacos,0.3000000041837876
37,shrimp,Manuel's,0.1818181828341701
33,quesadilla,Manuel's,0.4333333323399226
32,quesadilla,Las Perlas,0.4333333298563957
29,quesadilla,Cabo Bob's Burritos,0.3750000074505806
31,quesadilla,El Tacorrido,0.33888888027932906
30,quesadilla,Chuy's,0.2500000024835269
34,quesadilla,Taco More,0.22307692582790667
25,fish,El Tacorrido,0.39032257348299026
23,fish,Cabo Bob's Burritos,0.26533333202203113
26,fish,Kesos Tacos,0.242857141154153
27,fish,Manuel's,0.19285714227174008
24,fish,Chuy's,0.0999999971439441
28,fish,Taco More,-0.011111109620994992
20,fajita,Kesos Tacos,0.36428571066686083
18,fajita,Chuy's,0.2410256388859871
21,fajita,Manuel's,0.19818181910298088
19,fajita,El Tacorrido,0.176470589111833
17,fajita,Cabo Bob's Burritos,0.13750000204890966
22,fajita,Taco More,0.10555555505885018
16,enchilada,Taco More,0.3499999940395355
15,enchilada,Manuel's,0.29770114829485445
14,enchilada,Chuy's,0.24482758642955757
10,chicken,Las Perlas,0.4600000098347664
12,chicken,Marcelino's,0.3600000038743019
5,chicken,Cabo Bob's Burritos,0.3384615412125221
8,chicken,Fresa's Chicken al Carbon,0.32380952248497613
6,chicken,Chuy's,0.2360000003874302
13,chicken,Taco More,0.20540540745934924
7,chicken,El Tacorrido,0.19999999936782953
9,chicken,Kesos Tacos,0.18333333565129173
11,chicken,Manuel's,0.16779660963911122
3,burrito,Manuel's,0.4000000059604645
0,burrito,Cabo Bob's Burritos,0.3680327882776495
4,burrito,Taco More,0.2
1,burrito,Chuy's,0.09999999994861669
2,burrito,Kesos Tacos,0.019999992847442628
106,tortilla,Un Mundo De Sabor,0.4666666587193807
99,tortilla,La Posada Mexican Restaurant,0.3672413784882118
101,tortilla,Marcelino's,0.3315789468194309
97,tortilla,El Naranjo South Lamar,0.3041666705782215
96,tortilla,El Mesón,0.2851851850196167
100,tortilla,Las Cazuelas Mexican Restaurant,0.2509803922445166
104,tortilla,Pueblo Viejo Traila,0.17750000115484
105,tortilla,Taqueria Arandas,0.1592592630121443
98,tortilla,Granny's Tacos,0.13529411834828994
103,tortilla,Pollo Regio,0.12000000402331353
102,tortilla,Mr Natural,0.10769230585831863
95,tortilla,Chupacabra Cantina Y Tacqueria,0.09473684194840883
94,tortilla,Capital Taco,0.044444444278876
93,taco,Un Mundo De Sabor,0.46428571417927744
89,taco,Mr Natural,0.4365853612742773
91,taco,Pueblo Viejo Traila,0.4347222218014024
84,taco,El Naranjo South Lamar,0.3999999985098839
81,taco,Capital Taco,0.3693548374839367
88,taco,Marcelino's,0.3556451587787559
86,taco,La Posada Mexican Restaurant,0.3531531510992093
85,taco,Granny's Tacos,0.348666665405035
92,taco,Taqueria Arandas,0.33103448165387944
82,taco,Chupacabra Cantina Y Tacqueria,0.3154589360318898
83,taco,El Mesón,0.24666666835546494
87,taco,Las Cazuelas Mexican Restaurant,0.22918660247154785
90,taco,Pollo Regio,0.17647058779702468
75,steak,Marcelino's,0.800000011920929
68,steak,Capital Taco,0.528571435383388
73,steak,La Posada Mexican Restaurant,0.46666666120290756
78,steak,Pueblo Viejo Traila,0.4238095265768823
74,steak,Las Cazuelas Mexican Restaurant,0.28571428464991705
72,steak,Granny's Tacos,0.1545454514297572
76,steak,Mr Natural,0.12727272578261115
77,steak,Pollo Regio,0.05000000074505805
79,steak,Taqueria Arandas,-4.470348358154297e-09
69,steak,Chupacabra Cantina Y Tacqueria,-0.0692307696892665
80,steak,Un Mundo De Sabor,-0.25
71,steak,El Naranjo South Lamar,-0.3000000119209289
70,steak,El Mesón,-0.5
67,shrimp,Un Mundo De Sabor,0.5
61,shrimp,Capital Taco,0.4999999888241291
62,shrimp,El Mesón,0.3250000048428774
63,shrimp,El Naranjo South Lamar,0.31428571364709307
65,shrimp,La Posada Mexican Restaurant,0.2000000019158636
64,shrimp,Granny's Tacos,0.15000000316649675
66,shrimp,Las Cazuelas Mexican Restaurant,0.08888888897167312
51,quesadilla,Capital Taco,0.5
59,quesadilla,Taqueria Arandas,0.42000000476837157
53,quesadilla,El Mesón,0.3200000047683716
58,quesadilla,Pueblo Viejo Traila,0.3055555592808459
57,quesadilla,Las Cazuelas Mexican Restaurant,0.24000000208616257
55,quesadilla,Granny's Tacos,0.22500000335276124
60,quesadilla,Un Mundo De Sabor,0.20000000298023224
54,quesadilla,El Naranjo South Lamar,0.2000000029802322
56,quesadilla,La Posada Mexican Restaurant,4.470348358154297e-09
52,quesadilla,Chupacabra Cantina Y Tacqueria,-0.04285713817392075
44,fish,Chupacabra Cantina Y Tacqueria,0.457894736083976
49,fish,Pueblo Viejo Traila,0.42083333525806665
