restaurant_name,id,attributes
Taco Brother,-8LDoPjHsg6QM1djzneCTw,"['Offers Takeout', 'Masks required', 'No Reservations', 'No Delivery']"
Casa Maria,SnET6UQ6uDiKEdP15L4Zbw,"['Heath Score: 73 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Wilder Wood Restaurant & Bar,uhjDfyNP7XxR8WV9Y2SINA,"['Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'By Appointment Only']"
Fresa's Chicken al Carbon,vyb9Ud7CT1F2kDtFOuTlVw,"['Heath Score: 86 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Taco More,Q9xmImP2KKS1we8EzBOmVQ,"['Heath Score: 84 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
El Tacorrido,4PufI6Mz9Q-1coFLGApudA,"['Heath Score: 80 out of 100', 'Masks required', 'Staff wears masks', 'No Reservations']"
Las Perlas,BrZmt_v4Gevh6fhzeec1ag,"['No Reservations', 'No Delivery', 'No Takeout', 'Staff wears masks']"
Kesos Tacos,tc-miuh1kIkkdXizliGFuw,"['Heath Score: 85 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Chuy's,GxSmuTCzGuHwu9ozwB8_0w,"['Heath Score: 87 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Manuel's,DDKAp6wVkZtmv5gdk6FMIQ,"['Heath Score: 85 out of 100', 'Takes Reservations', 'Offers Takeout', 'Masks required']"
Cabo Bob's Burritos,EDvNWxQj95QWwzUdjgezmw,"['Heath Score: 89 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
Marcelino's,k5HBvQzRa21pph7zgaivag,"['Heath Score: 86 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
El Mesón,AUIMVCbPTUrF6AKf2TjZqQ,"['Heath Score: 85 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
Un Mundo De Sabor,NCTABDSddX6O9y-QN__L1Q,"['Offers Takeout', 'Vegan Options', 'No Reservations', 'No Delivery']"
Capital Taco,J3L6Vo-Pe0PGyTxhuT8bSw,"['Offers Delivery', 'Offers Takeout', 'Staff wears masks', 'No Reservations']"
Chupacabra Cantina Y Tacqueria,936JLLXsTk58KaUn1BOMyw,"['Heath Score: 93 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
El Naranjo South Lamar,o6zI8zxv6LTZa9MGs6TB9A,"['Heath Score: 80 out of 100', 'Takes Reservations', 'Offers Takeout', 'No Delivery']"
La Posada Mexican Restaurant,_SrhcpsPD7tX0AutRGKSnw,"['Heath Score: 82 out of 100', 'Takes Reservations', 'Offers Takeout', 'No Delivery']"
Pollo Regio,StC6I0fRK8d54IwHfN3bpg,"['Heath Score: 83 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
Pueblo Viejo Traila,mEUjYBoWX6onGMWhMz9gOQ,"['Offers Takeout', 'Vegan Options', 'No Reservations', 'No Delivery']"
Granny's Tacos,AISZmR-xAmGi7jsWNKwhMg,"['Offers Takeout', 'Staff wears masks', 'Vegan Options', 'Masks required']"
Mr Natural,GwF9MLWb34ttSRQdgEypEQ,"['Heath Score: 90 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
Las Cazuelas Mexican Restaurant,QE2WUvdPySHBQ7Xu41dDPA,"['Heath Score: 73 out of 100', 'Takes Reservations', 'Offers Takeout', 'Many Vegetarian Options']"
Taqueria Arandas,MBcCGInWjSqZVkRa6BAt1g,"['Heath Score: 73 out of 100', 'Offers Takeout', 'Masks required', 'No Reservations']"
El Caribe Mexican Restaurant,fMoq8jat2U7aig8ZXoZKlA,"['Heath Score: 78 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
Maudie's North Lamar,k8zC6EKsEA_zPMERW4dnhQ,"['Heath Score: 94 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
Tortillería Río Grande,lY3zSBjWrl2TLdvxUfhL1g,"['Heath Score: 89 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
Taqueria Anyeli,BQZ6_qTCYHu_SO1eXyKArg,"['Offers Delivery', 'Offers Takeout', 'Many Vegetarian Options', 'No Reservations']"
South Austin Trailer Park & Eatery,SVhakVk93aGZDHKh4XqLAw,"['Offers Delivery', 'Accepts Credit Cards', 'No Reservations', 'No Takeout']"
Taqueria Chapala,UP-0M9GmRvN9yKMyFGyCDw,"['Heath Score: 86 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Taquito Aviles,krABAHO0lvUVLFFPvd_NDw,"['Many Vegetarian Options', 'Accepts Credit Cards', 'No Reservations', 'Accepts Android Pay']"
Vazquez Restaurant,KLZNYrPiFOZAvUrtQE6MiA,"['Heath Score: 95 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
Taqueria Morelos,iAylJ20u1GYYbcOTd8-r6A,"['Heath Score: 70 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Cheko’s,JoZmPR16sGyP2nbTWHVY0A,"['Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Masks required']"
Taqueria Los Altos,a3SMwlidgbKE6UytxMfG6w,"['Heath Score: 79 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Taqueria Los Jaliscienses,OrdugQW3-3X3Os7SXH53gQ,"['Heath Score: 89 out of 100', 'Staff wears masks', 'Vegan Options', 'No Reservations']"
Tacodeli,IdqPtYXz6lhnKN0pTd_Z9Q,"['Heath Score: 93 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Tacos Ivan,L5ndtXhe0Q23MnVYTxkSVA,"['Heath Score: 93 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
Lupe Tortilla,ZTnsL3Fh95QvJLrKH8upMw,"['Heath Score: 77 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Tacos Y Tortas El Chilango,Gg7r_9nSBmVyOx80fpa7ug,"['Offers Delivery', 'Offers Takeout', 'Many Vegetarian Options', 'No Reservations']"
Taqueria Chapala #1,cfYWWw8579WMWe4oFsa6Gw,"['Heath Score: 77 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Pueblo Viejo Riverside,f3fl1UNbjk7WDM6gIFgVzg,"['Takes Reservations', 'Offers Delivery', 'Masks required', 'Staff wears masks']"
Matamoros Tacos,CvQIp5GL-9iOT9Tnvi354w,"['Heath Score: 92 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
Brazas Taco House,81bhH91cqsmqkMxx8M47-Q,"['Heath Score: 88 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Taco Baby,#NAME?,"['Offers Takeout', 'Accepts Credit Cards', 'No Reservations', 'No Delivery']"
